document_title,document_text,question_text,yes_no_answer,short_answer1,short_answer2,short_answer3,short_answer4,short_answer5,short_answer6,short_answer7,short_answer8,short_answer9,short_answer10,short_answer11,short_answer12,short_answer13,short_answer14,short_answer15,short_answer16,short_answer17,short_answer18,short_answer19,short_answer20,short_answer21,short_answer22,short_answer23
Movable type,,who is often associated with printing the first book using moveable type in germany,NONE,4153-4155,,,,,,,,,,,,,,,,,,,,,,
My Life (Billy Joel song),,who sang the song angel of my life,NONE,,,,,,,,,,,,,,,,,,,,,,,
Electrical conduction system of the heart,,when does the sa node begin electrical signaling,NONE,,,,,,,,,,,,,,,,,,,,,,,
Traveling Wilburys,,who are the artists in the traveling wilburys,NONE,178-180,181-183,184-186,187-189,191-193,,,,,,,,,,,,,,,,,,
300: Rise of an Empire,,who plays artemisia in 300 rise of an empire,NONE,1593-1595,,,,,,,,,,,,,,,,,,,,,,
List of most streamed songs on Spotify,,who is the most played artist on spotify,NONE,324-326,,,,,,,,,,,,,,,,,,,,,,
Cell damage,,which term describes the replacement of damaged cells to mend a tissue,NONE,,,,,,,,,,,,,,,,,,,,,,,
Ploidy,,where are haploid cells found in the human body,NONE,,,,,,,,,,,,,,,,,,,,,,,
As the Palaces Burn,,lamb of god as the palaces burn album,NONE,,,,,,,,,,,,,,,,,,,,,,,
Earth,,form from material that has accumulated on the earths surface,NONE,,,,,,,,,,,,,,,,,,,,,,,
The Opposition with Jordan Klepper,,where is the opposition with jordan klepper filmed,NONE,195-201,,,,,,,,,,,,,,,,,,,,,,
Olivia (Twelfth Night),,how does olivia secure the love of the man she believes to be cesario,NONE,,,,,,,,,,,,,,,,,,,,,,,
New York Giants,,when is the last time the new york giants won the super bowl,NONE,,,,,,,,,,,,,,,,,,,,,,,
Step Up (franchise),,when is the next step up movie coming out,NONE,,,,,,,,,,,,,,,,,,,,,,,
Robber baron (industrialist),,nickname given to railroad executives due to shady practices of their businesses,NONE,,,,,,,,,,,,,,,,,,,,,,,
Jan Carew,,who is the main character in black midas,NONE,,,,,,,,,,,,,,,,,,,,,,,
Bobby Anderson (actor),,who is young george bailey in it's a wonderful life,NONE,182-185,,,,,,,,,,,,,,,,,,,,,,
Battle of Stirling Bridge,,who won the battle of stirling bridge 1297,NONE,470-478,,,,,,,,,,,,,,,,,,,,,,
Daddy's Home 2,,who plays dylan in daddy's home 2,NONE,1944-1946,,,,,,,,,,,,,,,,,,,,,,
Powers of the United States Congress,,which is not a power of the united states congress,NONE,,,,,,,,,,,,,,,,,,,,,,,
Tablets of Stone,,where is the tablet of the ten commandments,NONE,456-462,,,,,,,,,,,,,,,,,,,,,,
Chinatown bus lines,,where does the chinatown bus stop in nyc,NONE,2130-2148,2168-2176,,,,,,,,,,,,,,,,,,,,,
Right to Buy,,when did the right to buy scheme start,NONE,562-563,,,,,,,,,,,,,,,,,,,,,,
Card security code,,what is a cvv code on a visa gift card,NONE,,,,,,,,,,,,,,,,,,,,,,,
Barry & the Tamerlanes,,i wonder what she's doing tonight barry and the tamerlanes,NONE,,,,,,,,,,,,,,,,,,,,,,,
Intramural sports,,what is the difference between intramural and interscholastic sports,NONE,,,,,,,,,,,,,,,,,,,,,,,
Shot glass,,how many ounces in one shot of liquor,NONE,,,,,,,,,,,,,,,,,,,,,,,
See You in September,,who sang will i see you in september,NONE,,,,,,,,,,,,,,,,,,,,,,,
Coinage of India,,who issued gold coins for the first time in india,NONE,,,,,,,,,,,,,,,,,,,,,,,
Perfect 10 (gymnastics),,highest olympic female score on the vault in the olympics,NONE,,,,,,,,,,,,,,,,,,,,,,,
"List of players who have scored 10,000 or more runs in One Day International cricket",,how many players have scored 10000 runs in odi,NONE,1367-1368,,,,,,,,,,,,,,,,,,,,,,
New Jersey Drive,,what is the movie new jersey drive about,NONE,214-224,,,,,,,,,,,,,,,,,,,,,,
Telephone numbers in the United Kingdom,,what do mobile numbers start with in the uk,NONE,,,,,,,,,,,,,,,,,,,,,,,
Visa requirements for Ghanaian citizens,,do ghanaians need visa to go to singapore,NO,,,,,,,,,,,,,,,,,,,,,,,
List of Formula One Grand Prix winners,,who has won the most f1 grand prix,NONE,475-477,,,,,,,,,,,,,,,,,,,,,,
Rajya Sabha,,who is the present rajya sabha speaker of india,NONE,,,,,,,,,,,,,,,,,,,,,,,
2018 Winter Olympics,,what are all the teams in the winter olympics,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of Keeping Up with the Kardashians episodes,,latest series of keeping up with the kardashians,NONE,986-987,,,,,,,,,,,,,,,,,,,,,,
Keeping up with the Joneses,,where does the saying keeping up with the jones come from,NONE,154-162,,,,,,,,,,,,,,,,,,,,,,
Laura Haddock,,who plays meredith quill in guardians of the galaxy 2,NONE,113-116,,,,,,,,,,,,,,,,,,,,,,
Human trafficking in South Africa,,identify any three causes of human trafficking in south africa,NONE,,,,,,,,,,,,,,,,,,,,,,,
A Country Wedding,,where was hallmark movie a country wedding filmed,NONE,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Cheban,,who is the guy on keeping up with the kardashians,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of National Football League career receptions leaders,,who has the most catches in nfl history,NONE,134-136,,,,,,,,,,,,,,,,,,,,,,
Main sequence,,how does a star become a main sequence,NONE,,,,,,,,,,,,,,,,,,,,,,,
The Englishman who Went up a Hill but Came down a Mountain,,locations for the film an englishman who went up a hill,NONE,381-390,,,,,,,,,,,,,,,,,,,,,,
The Peach Blossom Fan,,where does hou safely hide after escaping jail,NONE,,,,,,,,,,,,,,,,,,,,,,,
Chota Nagpur Division,,when did bihar bifurcate from bengal and some parts of chota nagpur merged into bengal,NONE,,,,,,,,,,,,,,,,,,,,,,,
Mount Ruapehu,,when was the last time mount ruapehu erupted,NONE,1427-1437,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh State Handloom Weavers Cooperative Society,,the andhra pradesh state handloom weavers' cooperative society limited hyderabad telangana,NONE,,,,,,,,,,,,,,,,,,,,,,,
Knocking on wood,,where did expression knock on wood come from,NONE,,,,,,,,,,,,,,,,,,,,,,,
Beauty and the Beast (2017 film),,where was 2017 beauty and the beast filmed,NONE,3122-3129,,,,,,,,,,,,,,,,,,,,,,
California Insurance Commissioner,,what proposition made the insurance commissioner an elected position,NONE,329-331,,,,,,,,,,,,,,,,,,,,,,
List of first overall NBA draft picks,,who has the number one pick in nba draft,NONE,,,,,,,,,,,,,,,,,,,,,,,
Game seven,,where is the 7th game of the world series played,NONE,111-124,,,,,,,,,,,,,,,,,,,,,,
Birth certificate,,birth certificates are most often completed by the department,NONE,,,,,,,,,,,,,,,,,,,,,,,
Freedom of the seas,,who did the united states not have problems with on the high seas,NONE,,,,,,,,,,,,,,,,,,,,,,,
This Is the Way It Goes and Goes and Goes,,juno this is the way it goes and goes and goes,NONE,,,,,,,,,,,,,,,,,,,,,,,
Round Table Conferences (India),,who attended all the three round table conferences,NONE,,,,,,,,,,,,,,,,,,,,,,,
Valley of the Dolls,,who is the valley of the dolls based on,NONE,554-556,557-559,560-562,564-566,,,,,,,,,,,,,,,,,,,
Widget (beer),,why is there a ball in guinness beer,NONE,,,,,,,,,,,,,,,,,,,,,,,
Transfer RNA,,what is the function of trnas in protein synthesis,NONE,,,,,,,,,,,,,,,,,,,,,,,
Bobbie Brown,,who is the girl in the once bitten twice shy video,NONE,,,,,,,,,,,,,,,,,,,,,,,
Paul Hogan,,who was the actor who played crocodile dundee,NONE,192-194,,,,,,,,,,,,,,,,,,,,,,
Michelle (song),,who was the song michelle by the beatles written for,NONE,,,,,,,,,,,,,,,,,,,,,,,
Myofascial trigger point,,where are trigger points located in the body,NONE,143-149,,,,,,,,,,,,,,,,,,,,,,
Dye,,in industry the ph of a solution used to dye cloth must be controlled,NONE,,,,,,,,,,,,,,,,,,,,,,,
2007 ICC World Twenty20,,who bowled the last over of the 2007 world twenty20 that india won,NONE,,,,,,,,,,,,,,,,,,,,,,,
Ambulatory care,,ambulatory is a term used in health care to describe,NONE,21-43,,,,,,,,,,,,,,,,,,,,,,
Canada at the Olympics,,when are the olympics going to be in canada,NONE,,,,,,,,,,,,,,,,,,,,,,,
Egypt Eyalet,,who was the ottoman governor who led egypt in the years following the napoleonic wars,NONE,770-775,,,,,,,,,,,,,,,,,,,,,,
Foreign policy of the United States,,what role does the president play in foreign affairs,NONE,1059-1064,1084-1093,1105-1117,,,,,,,,,,,,,,,,,,,,
North America,,what are the countries located in north america,NONE,,,,,,,,,,,,,,,,,,,,,,,
Boundary (cricket),,who hit 6 sixes in an over in test cricket,NONE,,,,,,,,,,,,,,,,,,,,,,,
History of the Philadelphia Eagles,,how long has it been since eagles went to super bowl,NONE,,,,,,,,,,,,,,,,,,,,,,,
Goods and Services Tax (India),,when does the 15 vat come into effect,NONE,,,,,,,,,,,,,,,,,,,,,,,
Independence Day (United States),,who did the united states win its independence from,NONE,,,,,,,,,,,,,,,,,,,,,,,
America's Next Top Model (cycle 8),,who won season 8 of america's next top model,NONE,439-450,,,,,,,,,,,,,,,,,,,,,,
Binary star,,the faster moving star in a binary is,NONE,,,,,,,,,,,,,,,,,,,,,,,
Sam Rockwell,,who plays justin hammer in iron man 2,NONE,,,,,,,,,,,,,,,,,,,,,,,
Dance Champions,,who got eliminated in dance champions 29 october 2017,NONE,,,,,,,,,,,,,,,,,,,,,,,
Public holidays in the United Kingdom,,day off in lieu of public holiday uk,NONE,,,,,,,,,,,,,,,,,,,,,,,
Reserve Bank of India,,how many branches of reserve bank of india in india,NONE,,,,,,,,,,,,,,,,,,,,,,,
History of scientific method,,who was an early advocate for using scientific methods based on inductive reasoning,NONE,,,,,,,,,,,,,,,,,,,,,,,
Hilton Worldwide,,how many hilton hotels are there in the uk,NONE,,,,,,,,,,,,,,,,,,,,,,,
British Indian Association,,the first political society started under british rule in india was,NONE,195-199,,,,,,,,,,,,,,,,,,,,,,
Chromosomal crossover,,when does crossing over occur and why is it important,NONE,,,,,,,,,,,,,,,,,,,,,,,
Immanuel Wallerstein,,when did the modern world system approximately end,NONE,,,,,,,,,,,,,,,,,,,,,,,
Tricyclic antidepressant,,what is an example of a tricyclic antidepressant,NONE,,,,,,,,,,,,,,,,,,,,,,,
Bacterial cell structure,,please give a brief description of the 7 major structures of a bacteria cell,NONE,,,,,,,,,,,,,,,,,,,,,,,
Mark of the Year,,who won mark and goal of the year 2017,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of suspensions in the National Football League,,who has been fined the most in the nfl,NONE,,,,,,,,,,,,,,,,,,,,,,,
Lucky Charms,,how many lucky charms marshmallows are in one box,NONE,,,,,,,,,,,,,,,,,,,,,,,
Time in Australia,,why are there different time zones in australia,NONE,,,,,,,,,,,,,,,,,,,,,,,
Rising Star India (season 2),,who will get ticket to finale in rising star 2,NONE,,,,,,,,,,,,,,,,,,,,,,,
San Siro,,inter milan and ac milan share the same stadium,NONE,,,,,,,,,,,,,,,,,,,,,,,
Thomas J. Watson,,who said i think there is a world market for maybe five computers,NONE,,,,,,,,,,,,,,,,,,,,,,,
Visa policy of the United Kingdom,,list of countries that can enter uk without visa,NONE,,,,,,,,,,,,,,,,,,,,,,,
Philadelphia Eagles,,when's the last time philly won the superbowl,NONE,383-384,,,,,,,,,,,,,,,,,,,,,,
Pop music,,where does the term pop music come from,NONE,975-989,,,,,,,,,,,,,,,,,,,,,,
Friday the 13th,,where does the friday the 13th superstition come from,NONE,,,,,,,,,,,,,,,,,,,,,,,
It's a Wonderful Life,,what's written in the book at the end of it's a wonderful life,NONE,,,,,,,,,,,,,,,,,,,,,,,
Kitty (song),,the presidents of the united states of america - kitty,NONE,,,,,,,,,,,,,,,,,,,,,,,
"Life, Liberty and the pursuit of Happiness",,is the right to life liberty and the pursuit of happiness in the constitution,NONE,1565-1576,1624-1635,,,,,,,,,,,,,,,,,,,,,
Slave Trade Act 1807,,who abolished slave trade in nigeria and in what year,NONE,,,,,,,,,,,,,,,,,,,,,,,
Oath of office of the Vice President of the United States,,who administers the oath of office to the vice president,NONE,,,,,,,,,,,,,,,,,,,,,,,
Albatross (metaphor),,the rime of the ancient mariner albatross symbolism,NONE,,,,,,,,,,,,,,,,,,,,,,,
Senate of Canada,,what is the role of a canadian senator,NONE,,,,,,,,,,,,,,,,,,,,,,,
Master-at-arms,,where can a master at arms be stationed,NONE,,,,,,,,,,,,,,,,,,,,,,,
Raghuvanshi,,who became the king of ayodhya after ram,NONE,,,,,,,,,,,,,,,,,,,,,,,
Yuvraj Singh,,yuvraj singh man of the match in ipl,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of recurring characters in The Suite Life of Zack & Cody,,sweet life of zack and cody crazy girl,NONE,,,,,,,,,,,,,,,,,,,,,,,
A Head Full of Dreams,,what is head to head in dream 11,NONE,,,,,,,,,,,,,,,,,,,,,,,
Rennes,,what is the most famous building in rennes,NONE,,,,,,,,,,,,,,,,,,,,,,,
Competitive intelligence,,differentiate competitor intelligence competitive intelligence and business intelligence,NONE,,,,,,,,,,,,,,,,,,,,,,,
Treaty on the Functioning of the European Union,,treaty on the functioning of the european union eur-lex,NONE,,,,,,,,,,,,,,,,,,,,,,,
My Name Is Jack,,song my name is jack and i live in the back,NONE,,,,,,,,,,,,,,,,,,,,,,,
Evolution of the horse,,when did equus first appear in fossil record,NONE,790-791,,,,,,,,,,,,,,,,,,,,,,
Percy Jackson & the Olympians: The Lightning Thief,,where was percy jackson and the olympians filmed,NONE,2310-2311,2319-2325,2353-2357,2363-2370,,,,,,,,,,,,,,,,,,,
United States men's national ice hockey team,,how many medals has the american team won,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of amendments to the United States Constitution,,when was the last amendment to the constitution passed,NONE,2433-2437,,,,,,,,,,,,,,,,,,,,,,
Chinese marriage,,who continues to exist according to the zhou chinese,NONE,,,,,,,,,,,,,,,,,,,,,,,
Remittance,,sending money home to the native country is an example of,NONE,73-74,,,,,,,,,,,,,,,,,,,,,,
List of National Basketball Association career scoring leaders,,how many points did lebron james scored in his career,NONE,670-671,,,,,,,,,,,,,,,,,,,,,,
Foreign Account Tax Compliance Act,,what is foreign account tax compliance act (fatca),NONE,365-425,,,,,,,,,,,,,,,,,,,,,,
Latin America–United States relations,,united states forces intervened in latin american governments when,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of Prime Ministers of India by longevity,,how many indian prime ministers were born in independent india,NONE,,,,,,,,,,,,,,,,,,,,,,,
Since I Don't Have You,,i dont have anything since i dont have you,NONE,,,,,,,,,,,,,,,,,,,,,,,
The Perks of Being a Wallflower,,who was charlie writing to in perks of being a wallflower movie,NONE,521-524,,,,,,,,,,,,,,,,,,,,,,
Fiorello H. LaGuardia High School,,how many students audition for laguardia high school,NONE,,,,,,,,,,,,,,,,,,,,,,,
The Real Thing (story),,what is henry james the real thing about,NONE,,,,,,,,,,,,,,,,,,,,,,,
2015 Australian Open – Men's Singles,,who won the men's single title of australia open on 1 february 2015,NONE,279-280,,,,,,,,,,,,,,,,,,,,,,
Greg Wise,,who played mr. willoughby in sense and sensibility,NONE,114-117,,,,,,,,,,,,,,,,,,,,,,
List of Star vs. the Forces of Evil episodes,,when is star vs the forces of evil coming back 2018,NONE,16961-16965,,,,,,,,,,,,,,,,,,,,,,
Soviet Union,,when did the soviet union start and end,NONE,1013-1015,,,,,,,,,,,,,,,,,,,,,,
Santa Claus,,who is the character of santa claus based on,NONE,,,,,,,,,,,,,,,,,,,,,,,
Ving Rhames,,who does the we have the meats voice,NONE,,,,,,,,,,,,,,,,,,,,,,,
The Next Iron Chef,,who wins the next iron chef super chefs,NONE,,,,,,,,,,,,,,,,,,,,,,,
Prostitution in Kolkata,,how to reach red light area in kolkata,NONE,,,,,,,,,,,,,,,,,,,,,,,
Anterior pituitary,,where are the hormones of the anterior pituitary created,NONE,486-494,,,,,,,,,,,,,,,,,,,,,,
Immunoassay,,what is the difference between an unknown sample and a control,NONE,,,,,,,,,,,,,,,,,,,,,,,
The Vampire Diaries (season 7),,is season 7 the last season of the vampire diaries,NO,,,,,,,,,,,,,,,,,,,,,,,
List of World Table Tennis Championships medalists,,who has won table tennis national championship recently,NONE,,,,,,,,,,,,,,,,,,,,,,,
My Three Sons,,where are the stars of my three sons now,NONE,,,,,,,,,,,,,,,,,,,,,,,
What Makes You Beautiful,,where was one direction what makes you beautiful filmed,NONE,3318-3321,,,,,,,,,,,,,,,,,,,,,,
Women's National Basketball Association,,who got the best record in the wnba,NONE,,,,,,,,,,,,,,,,,,,,,,,
Pertussis,,when did they start vaccinating for whooping cough,NONE,2707-2709,,,,,,,,,,,,,,,,,,,,,,
1918 flu pandemic,,what was the worst flu season in history,NONE,,,,,,,,,,,,,,,,,,,,,,,
Majority Leader of the New York State Senate,,who is the new york state senate majority leader,NONE,547-550,,,,,,,,,,,,,,,,,,,,,,
Michelangelo,,who created the pieta and also painted the ceiling of the sistine chapel,NONE,,,,,,,,,,,,,,,,,,,,,,,
Core (optical fiber),,the core of an optical fiber has a,NONE,,,,,,,,,,,,,,,,,,,,,,,
The Facts of Life (TV series),,the cast of the facts of life tv show,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of Boy Meets World characters,,who played cory's older brother on boy meets world,NONE,2026-2028,,,,,,,,,,,,,,,,,,,,,,
Rockstar (Nickelback song),,who sings i want to be a rockstar,NONE,369-373,,,,,,,,,,,,,,,,,,,,,,
2017–18 Virginia Cavaliers men's basketball team,,who did virginia cavaliers lose to in basketball this year,NONE,1219-1220,,,,,,,,,,,,,,,,,,,,,,
List of Alabama Crimson Tide bowl games,,how many times has alabama been to the rose bowl,NONE,,,,,,,,,,,,,,,,,,,,,,,
George II of Great Britain,,who was the king of england in 1756,NONE,23-25,,,,,,,,,,,,,,,,,,,,,,
Cinque Terre,,where is cinque terre italy on a map,NONE,,,,,,,,,,,,,,,,,,,,,,,
RMS Titanic,,what was the full name of the titanic,NONE,74-76,,,,,,,,,,,,,,,,,,,,,,
Strange Case of Dr Jekyll and Mr Hyde,,the strange case of jekyll and hyde characters,NONE,,,,,,,,,,,,,,,,,,,,,,,
Tenth Amendment to the United States Constitution,,to whom do the powers not given to the federal government by the constitution go,NONE,431-436,,,,,,,,,,,,,,,,,,,,,,
Boy Scouts of America,,which president of the united states was a boy scout,NONE,4414-4416,,,,,,,,,,,,,,,,,,,,,,
Orozco,,where does the last name orozco originate from,NONE,16-20,,,,,,,,,,,,,,,,,,,,,,
Don't Have a Cow (That's So Raven),,that's so raven don't have a cow episode,NONE,,,,,,,,,,,,,,,,,,,,,,,
The Bronx,,which river separates the bronx in new york city from manhattan island,NONE,558-560,,,,,,,,,,,,,,,,,,,,,,
Stop and identify statutes,,do you have to identify yourself to police in georgia,NONE,,,,,,,,,,,,,,,,,,,,,,,
Allele frequency,,what is the difference between genotype and allele frequencies,NONE,,,,,,,,,,,,,,,,,,,,,,,
Climate of Ecuador,,what is the average temperature in ecuador in january,NONE,,,,,,,,,,,,,,,,,,,,,,,
Grey's Anatomy (season 3),,derek and meredith get back together season 3,NONE,,,,,,,,,,,,,,,,,,,,,,,
Paschim Banga Gramin Bank,,list of regional rural banks in west bengal,NONE,,,,,,,,,,,,,,,,,,,,,,,
